ID,Site,Date_of_capture,Length_of_captivity_days,Sex,Pregnant,Mass_g,Length_cm,Age_days,Spleen_mass_g,Number_of_spleen_cells,Percent_viable_cells,Percent_CD3._T.cells,Number_of_T_cells,Percent_CD3.CD4.,Percent_CD3.CD8.,Ratio_of_CD4_to_CD8,Number_of_sorted_CD4,Number_of_sorted_CD8,Storage_method,CD4.alpha.count,CD4.beta.count,CD8.alpha.count,CD8.beta.count,CD4.alpha.unique.seq,CD4.beta.unique.seq,CD8.alpha.unique.seq,CD8.beta.unique.seq,CD4.alpha.powerlaw,CD4.beta.powerlaw,CD8.alpha.powerlaw,CD8.beta.powerlaw,CD4.alpha.simpsons,CD4.beta.simpsons,CD8.alpha.simpsons,CD8.beta.simpsons,CD4.alpha.shannons,CD4.beta.shannons,CD8.alpha.shannons,CD8.beta.shannons
N59,Nottingham,24-Jul,3,M,NA,17.32,7.7,152,0.07,22050000,0.961977,0.517555838,11412106.23,0.596316091,0.351491175,1.696532184,1338562,782741,Homogenised lysate,182449,161707,84034,88746,40138,45518,32953,41258,2.805910765,3.051845941,2.811304696,3.171793532,0.00012349,0.000180014,0.000563379,0.000659718,9.715251194,9.887501838,9.537641975,9.693327311
N60,Nottingham,24-Jul,3,F,No,10.97,6.9,37,0.03,2512500,0.868163651,0.340052775,854382.6,0.344344982,0.58366359,0.589971669,70509,119541,Homogenised lysate (75uL for CD4),61915,63581,131161,122913,4722,5132,12902,14437,3.839274936,3.98499524,4.270389518,4.765013041,0.000449814,0.000364018,0.00014726,0.000120511,8.122310067,8.223225154,9.12075578,9.259574682
N61,Nottingham,24-Jul,3,M,NA,12.51,7.7,44,0.04,10050000,0.950897537,0.562733721,5655473.9,0.757857741,0.185772957,4.079483643,1335575,307868,Homogenised lysate,80304,77754,104360,92044,15612,19141,28128,32478,3.606661583,2.956496135,2.963319398,3.420875701,0.000140479,0.000130131,0.000431648,0.000779777,9.251610295,9.467309462,9.418497757,9.558284929
N62,Nottingham,31-Jul,1,M,NA,13.42,8,41,0.05,12650000,0.806700807,0.968050428,12245837.91,0.50519995,0.618114221,0.321976699,1044397,530251,Homogenised lysate,102628,133875,137409,150588,29904,44698,33990,45609,3.498835266,3.726887216,3.639634979,4.21761987,9.38681491469201e-05,5.97640868186048e-05,7.43031378099337e-05,6.30549134953227e-05,9.771127243,10.11245961,9.890647863,10.11291634
N63,Nottingham,31-Jul,1,M,NA,19.06,9,134,0.11,51100000,0.713531028,0.975790795,49862909.64,0.500697857,0.618111112,0.309791983,527272,442015,Homogenised lysate,NA,NA,235418,125250,NA,NA,33119,32183,NA,NA,3.072062566,3.416078681,NA,NA,0.000183884,0.000220537,NA,NA,9.564951552,9.703841904
N64,Nottingham,31-Jul,1,F,Yes,26.91,9.7,232,0.12,40300000,0.724259439,0.982640599,39600416.13,0.46556371,0.680094999,0.208325412,1365972,403874,Homogenised lysate,126547,112831,143030,123817,21474,22473,18534,19188,2.298818473,2.74162507,2.722529757,2.140919246,0.000581858,0.00042511,0.001238991,0.001452477,8.919829263,9.085745316,8.618646316,8.699625716
N65,Nottingham,31-Jul,1,M,NA,19.33,8.9,113,0.06,8312500,0.669868411,0.977403011,8124662.53,0.453804699,0.675421948,0.208536399,1370487,696561,Homogenised lysate,95852,77718,91468,71613,24510,23589,22759,20975,3.890454613,4.055731791,3.814539431,4.325061736,9.24962907682709e-05,9.23480990037291e-05,0.000115521,0.000108718,9.648219306,9.698862174,9.616008376,9.616679953
W01,Wirral,06/09/2023,NA,F,No,10.75,7.2,30.5,0.03,6850000,0.987019676,0.290128431,1987379.75,0.548172662,0.304004386,1.803173531,372284,204556,Homogenised lysate,184906,243092,174395,190004,31851,42131,20587,25509,2.698302968,2.544174723,4.074124783,4.604722187,0.000305729,0.000184701,0.00027748,0.000232689,9.436529205,9.711604957,9.395395769,9.620486225
W02,Wirral,06/09/2023,NA,F,No,10.65,7.5,37.7,0.03,8650000,0.963250769,0.45649499,3948681.66,0.576794222,0.34028622,1.695026682,835139,492471,Homogenised lysate,141559,146279,157160,149124,42212,52771,45490,58983,3.311500313,2.700991599,3.652524304,5.371430346,0.000190915,6.42167043877564e-05,6.70615759034009e-05,3.74032464289665e-05,9.900976097,10.20449556,10.08644629,10.41054499
W03,Wirral,06/09/2023,NA,M,NA,19.8,9.1,106,0.15,46200000,0.934385211,0.334333427,15446204.31,0.661768939,0.18171389,3.64181814,1258837,320464,Homogenised lysate,185368,185660,214895,189986,19580,22143,28504,31973,2.30439945,2.276541508,3.149925078,3.704426142,0.000524581,0.000589065,0.00148139,0.001289012,8.95197626,9.062755291,9.154363324,9.371932079
W04,Wirral,13/09/2023,NA,M,NA,17.17,8.9,63.9,0.05,14725000,0.98633399,0.51697348,7612434.49,0.644168992,0.298646162,2.156963907,1340855,682961,Homogenised lysate,183928,211219,171571,237622,34971,41036,44003,57908,3.386192563,4.215309352,3.352255916,4.38605978,8.23473249390654e-05,6.47441861309859e-05,7.1749186117536e-05,8.92472230352282e-05,9.837457016,10.05517509,10.04803573,10.30134246
